Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Michael Carter II DB - NYJ,Michael Carter II,DB,NYJ,BUF,FA,3.0,2.0,,,,,,,,,,,,,,,4.0
Jamel Dean DB - TB O View News,Jamel Dean,DB,TB,@MIN,FA,3.0,2.0,,,,,,,,,,,,,,,4.0
Derion Kendrick DB - LA,Derion Kendrick,DB,LA,@SEA,FA,3.0,,,,,,,,,,,,,1.0,,,4.0
Tyrann Mathieu DB - NO,Tyrann Mathieu,DB,NO,TEN,FA,3.0,2.0,,,,,,,,,,,,,,,4.0
Greg Newsome II DB - CLE,Greg Newsome II,DB,CLE,CIN,FA,1.0,4.0,,,,,,,,,,,,1.0,,,4.0
Jason Pinnock DB - NYG,Jason Pinnock,DB,NYG,DAL,Alta Villa Cardinals,3.0,2.0,,,,,,,,,,,,,,,4.0
Jalen Pitre DB - HOU,Jalen Pitre,DB,HOU,@BAL,FA,2.0,,,,,,,,,,,,,,1.0,,4.0
Taylor Rapp DB - BUF View News,Taylor Rapp,DB,BUF,@NYJ,FA,3.0,2.0,,,,,,,,,,,,,,,4.0
Alontae Taylor DB - NO,Alontae Taylor,DB,NO,TEN,FA,2.0,2.0,,,,,,,,,,,,1.0,,,4.0
Jalen Thompson DB - ARI,Jalen Thompson,DB,ARI,@WAS,dirty birds,3.0,2.0,,,,,,,,,,,,,,,4.0
JT Woods DB - LAC O View News,JT Woods,DB,LAC,MIA,FA,4.0,,,,,,,,,,,,,,,,4.0
Darrell Baker Jr. DB - IND,Darrell Baker Jr.,DB,IND,JAX,FA,3.0,1.0,,,,,,,,,,,,,,,3.5
Kyle Dugger DB - NE,Kyle Dugger,DB,NE,PHI,Magic Eulers,2.0,3.0,,,,,,,,,,,,,,,3.5
Minkah Fitzpatrick DB - PIT,Minkah Fitzpatrick,DB,PIT,SF,Washington Fantasy Team,3.0,1.0,,,,,,,,,,,,,,,3.5
Darrick Forrest DB - WAS,Darrick Forrest,DB,WAS,ARI,Boppard Raiders,2.0,3.0,,,,,,,,,,,,,,,3.5
Tre Herndon DB - JAX,Tre Herndon,DB,JAX,@IND,FA,,1.0,,,,,,,,,,,,1.0,1.0,,3.5
Adoree' Jackson DB - NYG,Adoree' Jackson,DB,NYG,DAL,FA,3.0,1.0,,,,,,,,,,,,,,,3.5
Kerby Joseph DB - DET IA,Kerby Joseph,DB,DET,@KC,Boppard Raiders,3.0,1.0,,,,,,,,,,,,,,,3.5
Damontae Kazee DB - PIT,Damontae Kazee,DB,PIT,SF,FA,3.0,1.0,,,,,,,,,,,,,,,3.5
Byron Murphy DB - MIN View News,Byron Murphy,DB,MIN,TB,FA,2.0,3.0,,,,,,,,,,,,,,,3.5
Eric Murray DB - HOU,Eric Murray,DB,HOU,@BAL,FA,3.0,1.0,,,,,,,,,,,,,,,3.5
