Player,Team,Postion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Christian Kirk,JAC,WR,60,81,86,79,,,,,,,,,,,,,,,211,76
Zay Jones,JAC,WR,89,66,0,0,,,,,,,,,,,,,,,106,77
Keenan Allen,LAC,WR,91,94,89,75,,,,,,,,,,,,,,,246,88
Joshua Palmer,LAC,WR,64,54,61,86,,,,,,,,,,,,,,,185,66
Mike Williams,LAC,WR,77,90,67,0,,,,,,,,,,,,,,,167,78
Quentin Johnston,LAC,WR,27,15,24,51,,,,,,,,,,,,,,,81,29
Derius Davis,LAC,WR,4,16,9,18,,,,,,,,,,,,,,,32,11
Erik Ezukanma,MIA,WR,28,16,0,0,,,,,,,,,,,,,,,29,22
Tyreek Hill,MIA,WR,66,86,53,72,,,,,,,,,,,,,,,184,69
Jaylen Waddle,MIA,WR,64,73,0,75,,,,,,,,,,,,,,,138,71
River Cracraft,MIA,WR,40,29,34,0,,,,,,,,,,,,,,,70,34
Braxton Berrios,MIA,WR,52,33,51,49,,,,,,,,,,,,,,,125,47
Tyler Lockett,SEA,WR,88,86,81,69,,,,,,,,,,,,,,,206,81
DK Metcalf,SEA,WR,94,83,72,71,,,,,,,,,,,,,,,201,79
Jaxon Smith-Njigba,SEA,WR,59,56,44,53,,,,,,,,,,,,,,,132,52
Tutu Atwell,LAR,WR,79,94,87,78,,,,,,,,,,,,,,,251,84
Ben Skowronek,LAR,WR,26,25,22,0,,,,,,,,,,,,,,,53,25
Van Jefferson,LAR,WR,93,82,93,87,,,,,,,,,,,,,,,263,88
Puka Nacua,LAR,WR,78,86,96,95,,,,,,,,,,,,,,,263,88
Demario Douglas,NE,WR,41,8,24,33,,,,,,,,,,,,,,,74,26
Kendrick Bourne,NE,WR,91,51,56,53,,,,,,,,,,,,,,,180,64
JuJu Smith-Schuster,NE,WR,54,59,74,47,,,,,,,,,,,,,,,166,59
Kayshon Boutte,NE,WR,69,0,0,0,,,,,,,,,,,,,,,55,69
DeVonta Smith,PHI,WR,98,100,99,99,,,,,,,,,,,,,,,291,99
Quez Watkins,PHI,WR,79,0,0,0,,,,,,,,,,,,,,,52,79
A.J. Brown,PHI,WR,91,96,82,96,,,,,,,,,,,,,,,268,91
Tyler Scott,CHI,WR,18,0,20,19,,,,,,,,,,,,,,,37,19
Darnell Mooney,CHI,WR,84,0,71,75,,,,,,,,,,,,,,,152,77
DJ Moore,CHI,WR,92,91,100,93,,,,,,,,,,,,,,,234,94
Chase Claypool,CHI,WR,78,79,86,0,,,,,,,,,,,,,,,144,81
Trent Taylor,CHI,WR,5,43,0,0,,,,,,,,,,,,,,,27,21
Jayden Reed,GB,WR,53,56,66,67,,,,,,,,,,,,,,,150,61
Malik Heath,GB,WR,48,20,14,0,,,,,,,,,,,,,,,50,26
Samori Toure,GB,WR,35,46,42,19,,,,,,,,,,,,,,,88,36
Romeo Doubs,GB,WR,48,76,86,88,,,,,,,,,,,,,,,185,75
Dontayvion Wicks,GB,WR,62,50,66,58,,,,,,,,,,,,,,,147,60
Lil'Jordan Humphrey,DEN,WR,70,32,0,21,,,,,,,,,,,,,,,76,43
Phillip Dorsett II,DEN,WR,9,0,0,0,,,,,,,,,,,,,,,6,9
Courtland Sutton,DEN,WR,86,89,95,83,,,,,,,,,,,,,,,213,89
Brandon Johnson,DEN,WR,50,45,60,35,,,,,,,,,,,,,,,116,48
Marvin Mims Jr.,DEN,WR,27,24,24,35,,,,,,,,,,,,,,,65,27
DeAndre Carter,LV,WR,17,22,11,11,,,,,,,,,,,,,,,35,14
Davante Adams,LV,WR,90,92,97,86,,,,,,,,,,,,,,,223,91
Jakobi Meyers,LV,WR,80,0,86,96,,,,,,,,,,,,,,,179,88
Parris Campbell,NYG,WR,67,66,42,31,,,,,,,,,,,,,,,136,52
Lawrence Cager,NYG,WR,29,0,0,0,,,,,,,,,,,,,,,20,29
Darius Slayton,NYG,WR,67,82,84,88,,,,,,,,,,,,,,,211,80
Sterling Shepard,NYG,WR,20,15,0,7,,,,,,,,,,,,,,,29,14
Jalin Hyatt,NYG,WR,36,21,0,60,,,,,,,,,,,,,,,84,39
Isaiah Hodgins,NYG,WR,60,75,66,37,,,,,,,,,,,,,,,154,59
KaVontae Turpin,DAL,WR,19,18,2,30,,,,,,,,,,,,,,,50,17
CeeDee Lamb,DAL,WR,79,72,83,63,,,,,,,,,,,,,,,220,74
Brandin Cooks,DAL,WR,59,0,80,70,,,,,,,,,,,,,,,148,71
Michael Gallup,DAL,WR,67,72,69,53,,,,,,,,,,,,,,,195,66
Jalen Tolbert,DAL,WR,28,68,0,34,,,,,,,,,,,,,,,99,46
Randall Cobb,NYJ,WR,41,49,73,39,,,,,,,,,,,,,,,114,51
Allen Lazard,NYJ,WR,78,94,97,86,,,,,,,,,,,,,,,198,89
Garrett Wilson,NYJ,WR,93,91,97,93,,,,,,,,,,,,,,,209,94
Xavier Gipson,NYJ,WR,2,0,0,19,,,,,,,,,,,,,,,12,11
Deonte Harty,BUF,WR,22,19,19,26,,,,,,,,,,,,,,,58,21
Gabe Davis,BUF,WR,94,74,76,72,,,,,,,,,,,,,,,217,79
Stefon Diggs,BUF,WR,84,87,66,76,,,,,,,,,,,,,,,215,79
Khalil Shakir,BUF,WR,0,15,24,28,,,,,,,,,,,,,,,44,22
Tre Tucker,LV,WR,0,22,0,0,,,,,,,,,,,,,,,9,23
Hunter Renfrow,LV,WR,0,65,51,45,,,,,,,,,,,,,,,96,52
Nelson Agholor,BAL,WR,0,33,72,74,,,,,,,,,,,,,,,120,59
Velus Jones Jr.,CHI,WR,0,8,0,4,,,,,,,,,,,,,,,7,6
Tim Jones,JAC,WR,0,9,33,59,,,,,,,,,,,,,,,69,33
John Metchie III,HOU,WR,0,17,27,23,,,,,,,,,,,,,,,45,21
Antoine Green,DET,WR,0,11,0,0,,,,,,,,,,,,,,,7,11
Jake Bobo,SEA,WR,0,25,41,38,,,,,,,,,,,,,,,70,35
Austin Trammell,LAR,WR,0,1,0,0,,,,,,,,,,,,,,,1,1
Ronnie Bell,SF,WR,0,47,37,16,,,,,,,,,,,,,,,67,34
Mecole Hardman Jr.,NYJ,WR,0,30,0,0,,,,,,,,,,,,,,,14,30
Jerry Jeudy,DEN,WR,0,68,76,62,,,,,,,,,,,,,,,122,69
Byron Pringle,WAS,WR,0,18,0,23,,,,,,,,,,,,,,,31,21
DeVante Parker,NE,WR,0,100,76,82,,,,,,,,,,,,,,,174,87
DJ Chark Jr.,CAR,WR,0,62,94,92,,,,,,,,,,,,,,,177,84
Miles Boykin,PIT,WR,0,7,0,0,,,,,,,,,,,,,,,4,7
Gunner Olszewski,PIT,WR,0,2,0,0,,,,,,,,,,,,,,,1,2
Wan'Dale Robinson,NYG,WR,0,0,22,64,,,,,,,,,,,,,,,59,47
Robbie Chosen,MIA,WR,0,0,58,28,,,,,,,,,,,,,,,60,43
KhaDarel Hodge,ATL,WR,0,0,19,24,,,,,,,,,,,,,,,27,22
Trent Sherfield,BUF,WR,0,0,46,47,,,,,,,,,,,,,,,58,46
