Player,Team,Postion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Austin Bryant,SF,DL,25,0,0,0,,,,,,,,,,,,,,,16,25
Benton Whitley,MIN,DL,1,0,0,0,,,,,,,,,,,,,,,1,1
Morgan Fox,LAC,DL,51,35,48,36,,,,,,,,,,,,,,,122,43
Kentavius Street,PHI,DL,8,10,0,9,,,,,,,,,,,,,,,19,9
Neville Gallimore,DAL,DL,49,28,0,33,,,,,,,,,,,,,,,65,38
Khalen Saunders,NO,DL,44,43,44,61,,,,,,,,,,,,,,,132,48
Isaac Rochell,LV,DL,0,24,27,28,,,,,,,,,,,,,,,54,26
Malcolm Koonce,LV,DL,0,35,40,35,,,,,,,,,,,,,,,75,36
Adam Butler,LV,DL,0,46,32,60,,,,,,,,,,,,,,,95,46
Brent Urban,BAL,DL,0,12,20,22,,,,,,,,,,,,,,,39,18
Tavius Robinson,BAL,DL,0,25,65,57,,,,,,,,,,,,,,,109,51
Greg Gaines,TB,DL,0,36,52,38,,,,,,,,,,,,,,,86,43
YaYa Diaby,TB,DL,0,43,31,32,,,,,,,,,,,,,,,69,35
Justin Jones,CHI,DL,0,59,65,79,,,,,,,,,,,,,,,130,66
Zacch Pickens,CHI,DL,0,31,26,19,,,,,,,,,,,,,,,51,26
K'Lavon Chaisson,JAC,DL,0,40,29,40,,,,,,,,,,,,,,,66,36
Tyler Lacy,JAC,DL,0,12,0,0,,,,,,,,,,,,,,,8,12
Malik Herring,KC,DL,0,25,35,0,,,,,,,,,,,,,,,35,29
Chris Jones,KC,DL,0,51,31,75,,,,,,,,,,,,,,,94,53
Rashad Weaver,TEN,DL,0,13,31,21,,,,,,,,,,,,,,,42,22
Michael Dogbe,HOU,DL,0,26,0,0,,,,,,,,,,,,,,,15,26
Tyquan Lewis,IND,DL,0,29,17,41,,,,,,,,,,,,,,,70,30
Romeo Okwara,DET,DL,0,38,30,0,,,,,,,,,,,,,,,47,34
Cameron Young,SEA,DL,0,26,27,28,,,,,,,,,,,,,,,59,27
Tyreke Smith,SEA,DL,0,14,0,0,,,,,,,,,,,,,,,9,14
Mario Edwards Jr.,SEA,DL,0,42,53,49,,,,,,,,,,,,,,,107,48
Larrell Murchison,LAR,DL,0,11,23,19,,,,,,,,,,,,,,,36,18
Kevin Givens,SF,DL,0,34,0,41,,,,,,,,,,,,,,,56,37
Dante Stills,ARI,DL,0,26,41,60,,,,,,,,,,,,,,,84,41
Eric Banks,ARI,DL,0,22,0,49,,,,,,,,,,,,,,,42,34
D.J. Davidson,NYG,DL,0,26,23,35,,,,,,,,,,,,,,,55,27
Carl Lawson,NYJ,DL,0,26,21,0,,,,,,,,,,,,,,,38,24
Chase Young,WAS,DL,0,71,79,89,,,,,,,,,,,,,,,164,80
Yetur Gross-Matos,CAR,DL,0,55,56,69,,,,,,,,,,,,,,,117,59
Amare Barno,CAR,DL,0,3,23,0,,,,,,,,,,,,,,,19,13
Nathan Shepherd,NO,DL,0,50,52,56,,,,,,,,,,,,,,,111,53
Armon Watts,PIT,DL,0,25,0,48,,,,,,,,,,,,,,,56,35
Da'Shawn Hand,MIA,DL,0,14,29,28,,,,,,,,,,,,,,,44,23
Brandon Pili,MIA,DL,0,0,23,0,,,,,,,,,,,,,,,14,23
Sam Roberts,NE,DL,0,0,29,19,,,,,,,,,,,,,,,31,24
Khalil Davis,HOU,DL,0,0,49,29,,,,,,,,,,,,,,,53,40
Isaiah Buggs,DET,DL,0,0,27,21,,,,,,,,,,,,,,,30,24
Timmy Horne,ATL,DL,0,0,24,26,,,,,,,,,,,,,,,34,25
Isaiah Foskey,NO,DL,0,0,14,14,,,,,,,,,,,,,,,21,14
Kingsley Jonathan,BUF,DL,0,0,22,11,,,,,,,,,,,,,,,19,16
Scott Matlock,LAC,DL,0,0,26,0,,,,,,,,,,,,,,,21,26
Jeremiah Moon,BAL,DL,0,0,55,0,,,,,,,,,,,,,,,46,55
Jaleel Johnson,TEN,DL,0,0,15,0,,,,,,,,,,,,,,,11,15
Tershawn Wharton,KC,DL,0,0,76,27,,,,,,,,,,,,,,,55,50
Ben Stille,ARI,DL,0,0,33,0,,,,,,,,,,,,,,,27,33
Byron Young,LV,DL,0,0,29,0,,,,,,,,,,,,,,,18,29
Myles Adams,SEA,DL,0,0,27,29,,,,,,,,,,,,,,,43,28
Levi Onwuzurike,DET,DL,0,0,0,18,,,,,,,,,,,,,,,10,18
Desjuan Johnson,LAR,DL,0,0,0,8,,,,,,,,,,,,,,,5,8
Marcus Davenport,MIN,DL,0,0,0,62,,,,,,,,,,,,,,,45,62
Jaquelin Roy,MIN,DL,0,0,0,24,,,,,,,,,,,,,,,17,24
Chase Winovich,MIA,DL,0,0,0,5,,,,,,,,,,,,,,,3,5
Trevis Gipson,TEN,DL,0,0,0,6,,,,,,,,,,,,,,,3,6
Myles Murphy,CIN,DL,0,0,0,29,,,,,,,,,,,,,,,19,29
Joseph Ossai,CIN,DL,0,0,0,8,,,,,,,,,,,,,,,5,8
Chris Rumph II,LAC,DL,0,0,0,22,,,,,,,,,,,,,,,16,22
Nesta Jade Silvera,LV,DL,0,0,0,12,,,,,,,,,,,,,,,8,12
Roy Lopez,ARI,DL,0,0,0,36,,,,,,,,,,,,,,,20,36
Adetomiwa Adebawore,IND,DL,0,0,0,18,,,,,,,,,,,,,,,15,18
Caleb Murphy,TEN,DL,0,0,0,4,,,,,,,,,,,,,,,2,4
Willie Gay Jr.,KC,LB,67,58,41,76,,,,,,,,,,,,,,,152,62
Leo Chenal,KC,LB,40,37,67,41,,,,,,,,,,,,,,,111,45
Nick Bolton,KC,LB,96,79,0,0,,,,,,,,,,,,,,,120,88
Drue Tranquill,KC,LB,19,42,82,100,,,,,,,,,,,,,,,142,58
Derrick Barnes,DET,LB,42,54,72,74,,,,,,,,,,,,,,,156,60
James Houston,DET,LB,32,15,0,0,,,,,,,,,,,,,,,32,23
Alex Anzalone,DET,LB,94,90,100,100,,,,,,,,,,,,,,,250,96
Jack Campbell,DET,LB,38,32,57,61,,,,,,,,,,,,,,,121,46
Malcolm Rodriguez,DET,LB,22,22,30,0,,,,,,,,,,,,,,,50,25
Roquan Smith,BAL,LB,100,100,100,87,,,,,,,,,,,,,,,281,97
Malik Harrison,BAL,LB,19,3,10,20,,,,,,,,,,,,,,,39,13
Patrick Queen,BAL,LB,100,98,100,91,,,,,,,,,,,,,,,283,98
Henry To'oTo'o,HOU,LB,34,81,95,95,,,,,,,,,,,,,,,193,76
Christian Harris,HOU,LB,72,39,62,90,,,,,,,,,,,,,,,166,66
Cory Littleton,HOU,LB,27,0,0,0,,,,,,,,,,,,,,,17,27
Denzel Perryman,HOU,LB,95,100,0,0,,,,,,,,,,,,,,,118,98
Troy Andersen,ATL,LB,99,0,90,0,,,,,,,,,,,,,,,139,95
Lorenzo Carter,ATL,LB,44,36,27,0,,,,,,,,,,,,,,,71,36
Kaden Elliss,ATL,LB,100,100,100,100,,,,,,,,,,,,,,,263,100
Bud Dupree,ATL,LB,65,64,76,74,,,,,,,,,,,,,,,184,70
Frankie Luvu,CAR,LB,100,100,51,100,,,,,,,,,,,,,,,215,85
Shaq Thompson,CAR,LB,100,22,0,0,,,,,,,,,,,,,,,69,53
Sione Takitaki,CLE,LB,41,57,56,53,,,,,,,,,,,,,,,112,52
Jeremiah Owusu-Koramoah,CLE,LB,77,61,67,79,,,,,,,,,,,,,,,154,71
Ogbonnia Okoronkwo,CLE,LB,61,61,56,53,,,,,,,,,,,,,,,125,58
Matthew Adams,CLE,LB,2,0,0,0,,,,,,,,,,,,,,,1,2
Anthony Walker Jr.,CLE,LB,59,74,77,71,,,,,,,,,,,,,,,151,70
Za'Darius Smith,CLE,LB,66,67,62,59,,,,,,,,,,,,,,,137,63
Akeem Davis-Gaither,CIN,LB,7,4,11,0,,,,,,,,,,,,,,,14,7
Germaine Pratt,CIN,LB,89,95,80,94,,,,,,,,,,,,,,,243,90
Logan Wilson,CIN,LB,100,99,100,100,,,,,,,,,,,,,,,269,100
Markus Bailey,CIN,LB,1,0,0,8,,,,,,,,,,,,,,,6,4
Elandon Roberts,PIT,LB,43,31,24,59,,,,,,,,,,,,,,,115,39
T.J. Watt,PIT,LB,71,80,82,87,,,,,,,,,,,,,,,239,80
Cole Holcomb,PIT,LB,78,90,74,89,,,,,,,,,,,,,,,247,83
Kwon Alexander,PIT,LB,69,60,65,38,,,,,,,,,,,,,,,173,58
Markus Golden,PIT,LB,37,22,28,18,,,,,,,,,,,,,,,77,26
Alex Highsmith,PIT,LB,72,78,72,89,,,,,,,,,,,,,,,232,78
Nick Herbig,PIT,LB,24,20,18,6,,,,,,,,,,,,,,,50,17
Fred Warner,SF,LB,100,100,100,85,,,,,,,,,,,,,,,253,96
Dre Greenlaw,SF,LB,97,99,84,82,,,,,,,,,,,,,,,240,91
Cody Barton,WAS,LB,100,100,100,100,,,,,,,,,,,,,,,267,100
Casey Toohill,WAS,LB,47,24,0,7,,,,,,,,,,,,,,,50,25
Jamin Davis,WAS,LB,65,62,78,80,,,,,,,,,,,,,,,191,72
Kyzir White,ARI,LB,100,100,100,100,,,,,,,,,,,,,,,275,100
Zaven Collins,ARI,LB,59,57,30,51,,,,,,,,,,,,,,,133,49
Dennis Gardeck,ARI,LB,39,46,43,36,,,,,,,,,,,,,,,114,41
Krys Barnes,ARI,LB,27,82,72,0,,,,,,,,,,,,,,,133,61
Jesse Luketa,ARI,LB,25,21,22,27,,,,,,,,,,,,,,,65,23
Josh Woods,ARI,LB,55,0,0,0,,,,,,,,,,,,,,,39,55
L.J. Collier,ARI,LB,52,0,0,0,,,,,,,,,,,,,,,37,52
Pete Werner,NO,LB,100,98,99,94,,,,,,,,,,,,,,,267,98
Demario Davis,NO,LB,100,100,100,100,,,,,,,,,,,,,,,273,100
Azeez Al-Shaair,TEN,LB,98,99,92,100,,,,,,,,,,,,,,,249,97
Jack Gibbens,TEN,LB,65,66,80,77,,,,,,,,,,,,,,,185,72
Harold Landry III,TEN,LB,88,79,59,64,,,,,,,,,,,,,,,187,73
Ivan Pace Jr.,MIN,LB,68,79,62,51,,,,,,,,,,,,,,,185,65
Brian Asamoah II,MIN,LB,3,18,0,3,,,,,,,,,,,,,,,18,8
Jordan Hicks,MIN,LB,97,94,100,96,,,,,,,,,,,,,,,273,96
Troy Dye,MIN,LB,3,0,0,0,,,,,,,,,,,,,,,2,3
SirVocea Dennis,TB,LB,5,0,0,0,,,,,,,,,,,,,,,3,5
Joe Tryon-Shoyinka,TB,LB,61,53,62,66,,,,,,,,,,,,,,,160,61
Lavonte David,TB,LB,95,100,100,100,,,,,,,,,,,,,,,259,99
Shaquil Barrett,TB,LB,61,53,57,66,,,,,,,,,,,,,,,156,59
Devin White,TB,LB,98,100,95,100,,,,,,,,,,,,,,,257,98
E.J. Speed,IND,LB,41,54,50,55,,,,,,,,,,,,,,,155,50
Zaire Franklin,IND,LB,100,100,100,91,,,,,,,,,,,,,,,301,98
Shaquille Leonard,IND,LB,86,71,69,45,,,,,,,,,,,,,,,207,67
Samson Ebukam,IND,LB,53,62,64,62,,,,,,,,,,,,,,,186,60
Devin Lloyd,JAC,LB,100,99,75,0,,,,,,,,,,,,,,,180,92
Foyesade Oluokun,JAC,LB,100,100,100,100,,,,,,,,,,,,,,,253,100
Kenneth Murray Jr.,LAC,LB,90,100,100,100,,,,,,,,,,,,,,,280,98
Khalil Mack,LAC,LB,75,91,79,86,,,,,,,,,,,,,,,237,83
Eric Kendricks,LAC,LB,100,0,0,68,,,,,,,,,,,,,,,117,83
Bradley Chubb,MIA,LB,88,91,68,83,,,,,,,,,,,,,,,228,83
David Long Jr.,MIA,LB,21,84,58,93,,,,,,,,,,,,,,,169,61
Duke Riley,MIA,LB,1,1,26,31,,,,,,,,,,,,,,,36,11
Andrew Van Ginkel,MIA,LB,63,88,49,76,,,,,,,,,,,,,,,190,69
Jerome Baker,MIA,LB,100,100,75,76,,,,,,,,,,,,,,,245,89
Jordyn Brooks,SEA,LB,64,86,80,77,,,,,,,,,,,,,,,230,76
Devin Bush Jr.,SEA,LB,26,0,33,13,,,,,,,,,,,,,,,57,24
Uchenna Nwosu,SEA,LB,77,80,73,60,,,,,,,,,,,,,,,218,72
Bobby Wagner,SEA,LB,100,100,100,89,,,,,,,,,,,,,,,293,97
Ernest Jones,LAR,LB,100,100,100,100,,,,,,,,,,,,,,,249,100
Christian Rozeboom,LAR,LB,67,72,64,55,,,,,,,,,,,,,,,159,64
Ja'Whaun Bentley,NE,LB,100,100,100,90,,,,,,,,,,,,,,,255,97
Matthew Judon,NE,LB,76,81,67,59,,,,,,,,,,,,,,,184,70
Mack Wilson Sr.,NE,LB,15,0,10,0,,,,,,,,,,,,,,,16,13
Jahlani Tavai,NE,LB,56,73,60,66,,,,,,,,,,,,,,,167,64
Marte Mapu,NE,LB,14,48,0,50,,,,,,,,,,,,,,,74,38
Zach Cunningham,PHI,LB,88,91,77,85,,,,,,,,,,,,,,,225,86
Nakobe Dean,PHI,LB,61,0,0,0,,,,,,,,,,,,,,,49,61
Tremaine Edmunds,CHI,LB,100,100,73,100,,,,,,,,,,,,,,,235,92
T.J. Edwards,CHI,LB,98,87,97,100,,,,,,,,,,,,,,,244,95
Jack Sanborn,CHI,LB,32,56,32,65,,,,,,,,,,,,,,,115,45
De'Vondre Campbell,GB,LB,74,83,18,0,,,,,,,,,,,,,,,134,62
Quay Walker,GB,LB,66,100,100,100,,,,,,,,,,,,,,,267,91
Rashan Gary,GB,LB,16,27,38,27,,,,,,,,,,,,,,,77,26
Eric Wilson,GB,LB,14,0,13,13,,,,,,,,,,,,,,,28,13
Isaiah McDuffie,GB,LB,26,0,61,61,,,,,,,,,,,,,,,102,49
Preston Smith,GB,LB,47,71,70,67,,,,,,,,,,,,,,,186,64
Justin Hollins,GB,LB,34,32,33,17,,,,,,,,,,,,,,,84,29
Josey Jewell,DEN,LB,95,89,26,0,,,,,,,,,,,,,,,140,68
Alex Singleton,DEN,LB,90,64,89,100,,,,,,,,,,,,,,,237,86
Luke Masterson,LV,LB,6,0,0,25,,,,,,,,,,,,,,,20,15
Divine Deablo,LV,LB,94,94,84,71,,,,,,,,,,,,,,,231,86
Robert Spillane,LV,LB,100,100,100,100,,,,,,,,,,,,,,,269,100
Bobby Okereke,NYG,LB,100,100,100,100,,,,,,,,,,,,,,,261,100
Isaiah Simmons,NYG,LB,26,20,28,33,,,,,,,,,,,,,,,69,27
Micah McFadden,NYG,LB,74,75,72,67,,,,,,,,,,,,,,,189,72
Azeez Ojulari,NYG,LB,55,0,0,73,,,,,,,,,,,,,,,72,64
Micah Parsons,DAL,LB,57,87,90,80,,,,,,,,,,,,,,,180,77
Damone Clark,DAL,LB,66,36,69,45,,,,,,,,,,,,,,,130,56
Leighton Vander Esch,DAL,LB,69,100,100,100,,,,,,,,,,,,,,,211,91
Devin Harper,DAL,LB,4,0,0,0,,,,,,,,,,,,,,,3,4
Quincy Williams,NYJ,LB,100,97,96,96,,,,,,,,,,,,,,,289,97
C.J. Mosley,NYJ,LB,100,100,100,100,,,,,,,,,,,,,,,298,100
Jamien Sherwood,NYJ,LB,6,31,26,11,,,,,,,,,,,,,,,58,19
Matt Milano,BUF,LB,100,85,87,100,,,,,,,,,,,,,,,200,94
Terrel Bernard,BUF,LB,100,85,87,100,,,,,,,,,,,,,,,200,94
Leonard Floyd,BUF,LB,52,40,48,54,,,,,,,,,,,,,,,105,49
Joe Bachie,CIN,LB,1,1,0,2,,,,,,,,,,,,,,,3,1
Nicholas Morrow,PHI,LB,0,95,100,99,,,,,,,,,,,,,,,179,98
Tae Davis,ATL,LB,0,2,0,0,,,,,,,,,,,,,,,1,2
Dorian Williams,BUF,LB,0,15,13,0,,,,,,,,,,,,,,,13,14
Cam Gill,TB,LB,0,6,0,0,,,,,,,,,,,,,,,3,6
Noah Sewell,CHI,LB,0,4,13,0,,,,,,,,,,,,,,,13,9
Nick Niemann,LAC,LB,0,77,76,23,,,,,,,,,,,,,,,129,58
Amen Ogbongbemiga,LAC,LB,0,6,0,0,,,,,,,,,,,,,,,4,6
Oshane Ximines,NYG,LB,0,32,30,0,,,,,,,,,,,,,,,46,31
Drew Sanders,DEN,LB,0,5,60,79,,,,,,,,,,,,,,,105,47
Kamu Grugier-Hill,CAR,LB,0,78,67,29,,,,,,,,,,,,,,,124,62
Grant Stuard,IND,LB,0,1,4,0,,,,,,,,,,,,,,,4,2
Oren Burks,SF,LB,0,2,42,27,,,,,,,,,,,,,,,42,19
Channing Tindall,MIA,LB,0,0,15,0,,,,,,,,,,,,,,,9,15
Thomas Incoom,DEN,LB,0,0,14,0,,,,,,,,,,,,,,,10,14
Anfernee Jennings,NE,LB,0,0,30,0,,,,,,,,,,,,,,,19,30
Chad Muma,JAC,LB,0,0,34,98,,,,,,,,,,,,,,,76,67
Jake Hansen,HOU,LB,0,0,5,7,,,,,,,,,,,,,,,8,6
Blake Cashman,HOU,LB,0,0,63,20,,,,,,,,,,,,,,,58,44
Jalen Reeves-Maybin,DET,LB,0,0,4,4,,,,,,,,,,,,,,,5,4
Mohamoud Diabate,CLE,LB,0,0,4,0,,,,,,,,,,,,,,,2,4
Monty Rice,TEN,LB,0,0,7,0,,,,,,,,,,,,,,,5,7
Luke Gifford,TEN,LB,0,0,8,0,,,,,,,,,,,,,,,6,8
Chance Campbell,TEN,LB,0,0,7,0,,,,,,,,,,,,,,,5,7
Deion Jones,CAR,LB,0,0,69,0,,,,,,,,,,,,,,,52,69
Sam Franklin Jr.,CAR,LB,0,0,75,98,,,,,,,,,,,,,,,103,84
Jack Cochrane,KC,LB,0,0,25,0,,,,,,,,,,,,,,,13,25
Mark Robinson,PIT,LB,0,0,6,0,,,,,,,,,,,,,,,4,6
K.J. Britt,TB,LB,0,0,5,0,,,,,,,,,,,,,,,4,5
Cameron Goode,MIA,LB,0,0,23,0,,,,,,,,,,,,,,,14,23
Zack Baun,NO,LB,0,0,24,14,,,,,,,,,,,,,,,29,19
Segun Olubi,IND,LB,0,0,0,9,,,,,,,,,,,,,,,7,9
Chandler Wooten,CAR,LB,0,0,0,23,,,,,,,,,,,,,,,11,23
Kyle Van Noy,BAL,LB,0,0,0,33,,,,,,,,,,,,,,,23,33
Andrew Farmer,LAC,LB,0,0,0,14,,,,,,,,,,,,,,,10,14
Dee Winters,SF,LB,0,0,0,14,,,,,,,,,,,,,,,10,14
Jon Rhattigan,SEA,LB,0,0,0,11,,,,,,,,,,,,,,,8,11
Trenton Simpson,BAL,LB,0,0,0,9,,,,,,,,,,,,,,,6,9
Del'Shawn Phillips,BAL,LB,0,0,0,13,,,,,,,,,,,,,,,9,13
Trent McDuffie,KC,DB,100,99,82,98,,,,,,,,,,,,,,,236,96
Bryan Cook,KC,DB,100,99,100,83,,,,,,,,,,,,,,,236,96
L'Jarius Sneed,KC,DB,100,100,82,100,,,,,,,,,,,,,,,238,96
Mike Edwards,KC,DB,23,31,41,44,,,,,,,,,,,,,,,84,34
Joshua Williams,KC,DB,56,46,33,47,,,,,,,,,,,,,,,115,46
Justin Reid,KC,DB,100,100,82,100,,,,,,,,,,,,,,,238,96
Chamarri Conner,KC,DB,14,0,22,17,,,,,,,,,,,,,,,31,17
Cameron Sutton,DET,DB,100,100,100,100,,,,,,,,,,,,,,,261,100
Brian Branch,DET,DB,68,69,100,70,,,,,,,,,,,,,,,201,77
C.J. Gardner-Johnson,DET,DB,100,97,0,0,,,,,,,,,,,,,,,135,99
Jerry Jacobs,DET,DB,100,100,99,100,,,,,,,,,,,,,,,260,100
Kerby Joseph,DET,DB,100,88,0,0,,,,,,,,,,,,,,,128,93
Ar'Darius Washington,BAL,DB,73,95,0,0,,,,,,,,,,,,,,,113,82
Geno Stone,BAL,DB,78,100,98,100,,,,,,,,,,,,,,,271,93
Kyle Hamilton,BAL,DB,99,100,100,100,,,,,,,,,,,,,,,289,100
Marcus Williams,BAL,DB,31,0,0,0,,,,,,,,,,,,,,,24,31
Brandon Stephens,BAL,DB,100,100,100,100,,,,,,,,,,,,,,,290,100
Ronald Darby,BAL,DB,90,58,65,64,,,,,,,,,,,,,,,203,70
Jalen Pitre,HOU,DB,45,0,0,95,,,,,,,,,,,,,,,85,69
Steven Nelson,HOU,DB,100,100,95,88,,,,,,,,,,,,,,,242,96
Derek Stingley Jr.,HOU,DB,100,95,0,0,,,,,,,,,,,,,,,118,98
Tavierre Thomas,HOU,DB,63,75,0,0,,,,,,,,,,,,,,,83,69
M.J. Stewart Jr.,HOU,DB,55,100,0,0,,,,,,,,,,,,,,,92,76
Shaquill Griffin,HOU,DB,5,5,95,95,,,,,,,,,,,,,,,131,52
Eric Murray,HOU,DB,100,16,95,27,,,,,,,,,,,,,,,158,63
Dee Alford,ATL,DB,94,48,91,61,,,,,,,,,,,,,,,200,76
Tre Flowers,ATL,DB,100,98,74,0,,,,,,,,,,,,,,,178,90
Jessie Bates III,ATL,DB,94,100,100,100,,,,,,,,,,,,,,,258,98
Richie Grant,ATL,DB,100,100,100,100,,,,,,,,,,,,,,,263,100
A.J. Terrell,ATL,DB,100,100,100,100,,,,,,,,,,,,,,,263,100
Jeremy Chinn,CAR,DB,73,35,77,65,,,,,,,,,,,,,,,154,61
Troy Hill,CAR,DB,31,47,85,29,,,,,,,,,,,,,,,130,52
Xavier Woods,CAR,DB,81,91,21,0,,,,,,,,,,,,,,,128,62
Jaycee Horn,CAR,DB,38,0,0,0,,,,,,,,,,,,,,,20,38
Vonn Bell,CAR,DB,100,100,100,100,,,,,,,,,,,,,,,252,100
CJ Henderson,CAR,DB,62,100,13,100,,,,,,,,,,,,,,,167,66
Donte Jackson,CAR,DB,98,86,100,27,,,,,,,,,,,,,,,205,81
Denzel Ward,CLE,DB,95,85,92,88,,,,,,,,,,,,,,,194,90
Cameron Mitchell,CLE,DB,5,19,71,0,,,,,,,,,,,,,,,47,29
Mike Ford,CLE,DB,2,7,8,3,,,,,,,,,,,,,,,11,5
Greg Newsome II,CLE,DB,98,76,0,88,,,,,,,,,,,,,,,147,88
Grant Delpit,CLE,DB,98,100,96,97,,,,,,,,,,,,,,,211,98
Martin Emerson Jr.,CLE,DB,91,76,96,69,,,,,,,,,,,,,,,178,82
Rodney McLeod Jr.,CLE,DB,98,35,21,33,,,,,,,,,,,,,,,103,48
Jalen Davis,CIN,DB,3,0,5,5,,,,,,,,,,,,,,,8,4
Dax Hill,CIN,DB,99,99,100,98,,,,,,,,,,,,,,,267,99
Chidobe Awuzie,CIN,DB,58,73,78,85,,,,,,,,,,,,,,,197,73
Jordan Battle,CIN,DB,1,33,0,6,,,,,,,,,,,,,,,30,12
Nick Scott,CIN,DB,97,65,96,92,,,,,,,,,,,,,,,235,87
DJ Turner II,CIN,DB,47,32,38,59,,,,,,,,,,,,,,,119,44
Mike Hilton,CIN,DB,74,71,100,70,,,,,,,,,,,,,,,209,77
Cam Taylor-Britt,CIN,DB,99,99,100,56,,,,,,,,,,,,,,,239,89
Levi Wallace,PIT,DB,99,90,93,100,,,,,,,,,,,,,,,283,95
Patrick Peterson,PIT,DB,99,98,99,100,,,,,,,,,,,,,,,294,99
Joey Porter Jr.,PIT,DB,10,16,38,14,,,,,,,,,,,,,,,58,19
Minkah Fitzpatrick,PIT,DB,100,53,100,100,,,,,,,,,,,,,,,257,86
Keanu Neal,PIT,DB,49,70,57,63,,,,,,,,,,,,,,,180,61
Damontae Kazee,PIT,DB,72,89,74,48,,,,,,,,,,,,,,,213,71
Charvarius Ward,SF,DB,81,100,100,85,,,,,,,,,,,,,,,241,91
Talanoa Hufanga,SF,DB,97,100,90,82,,,,,,,,,,,,,,,244,92
Deommodore Lenoir,SF,DB,87,96,100,85,,,,,,,,,,,,,,,242,92
Samuel Womack III,SF,DB,14,0,0,0,,,,,,,,,,,,,,,9,14
Tashaun Gipson Sr.,SF,DB,100,100,98,82,,,,,,,,,,,,,,,250,95
Ambry Thomas,SF,DB,54,18,0,30,,,,,,,,,,,,,,,69,33
Isaiah Oliver,SF,DB,52,84,68,62,,,,,,,,,,,,,,,178,67
Kamren Curl,WAS,DB,100,100,100,100,,,,,,,,,,,,,,,267,100
Emmanuel Forbes,WAS,DB,65,67,41,92,,,,,,,,,,,,,,,177,66
Percy Butler,WAS,DB,53,47,65,27,,,,,,,,,,,,,,,127,48
Benjamin St-Juste,WAS,DB,100,100,100,100,,,,,,,,,,,,,,,267,100
Kendall Fuller,WAS,DB,100,100,99,100,,,,,,,,,,,,,,,266,100
Darrick Forrest,WAS,DB,100,100,100,100,,,,,,,,,,,,,,,267,100
Marco Wilson,ARI,DB,100,99,100,98,,,,,,,,,,,,,,,273,99
Jalen Thompson,ARI,DB,99,100,99,100,,,,,,,,,,,,,,,273,99
Antonio Hamilton Sr.,ARI,DB,7,0,0,0,,,,,,,,,,,,,,,5,7
Kei'Trel Clark,ARI,DB,100,97,100,98,,,,,,,,,,,,,,,272,99
Budda Baker,ARI,DB,100,0,0,0,,,,,,,,,,,,,,,71,100
K'Von Wallace,ARI,DB,70,100,100,100,,,,,,,,,,,,,,,254,92
Alontae Taylor,NO,DB,68,98,100,100,,,,,,,,,,,,,,,252,92
Marcus Maye,NO,DB,100,100,0,0,,,,,,,,,,,,,,,123,100
Paulson Adebo,NO,DB,100,100,0,0,,,,,,,,,,,,,,,123,100
Marshon Lattimore,NO,DB,95,98,96,100,,,,,,,,,,,,,,,266,97
Isaac Yiadom,NO,DB,5,0,80,76,,,,,,,,,,,,,,,120,57
Ugo Amadi,NO,DB,5,0,0,0,,,,,,,,,,,,,,,3,5
Tyrann Mathieu,NO,DB,100,100,100,100,,,,,,,,,,,,,,,273,100
Amani Hooker,TEN,DB,83,0,97,100,,,,,,,,,,,,,,,176,93
Sean Murphy-Bunting,TEN,DB,100,99,86,98,,,,,,,,,,,,,,,245,95
Roger McCreary,TEN,DB,88,99,83,100,,,,,,,,,,,,,,,236,92
Kristian Fulton,TEN,DB,32,0,94,100,,,,,,,,,,,,,,,141,74
Elijah Molden,TEN,DB,75,100,28,0,,,,,,,,,,,,,,,137,67
Kindle Vildor,TEN,DB,14,0,0,0,,,,,,,,,,,,,,,9,14
Kevin Byard,TEN,DB,100,100,93,100,,,,,,,,,,,,,,,252,98
Josh Metellus,MIN,DB,84,73,95,94,,,,,,,,,,,,,,,244,86
Byron Murphy Jr.,MIN,DB,100,100,94,94,,,,,,,,,,,,,,,275,97
Akayleb Evans,MIN,DB,91,95,91,99,,,,,,,,,,,,,,,266,94
Mekhi Blackmon,MIN,DB,22,18,27,0,,,,,,,,,,,,,,,47,22
Camryn Bynum,MIN,DB,99,100,100,100,,,,,,,,,,,,,,,282,100
Harrison Smith,MIN,DB,96,100,95,100,,,,,,,,,,,,,,,277,98
Christian Izien,TB,DB,56,75,49,72,,,,,,,,,,,,,,,162,62
Antoine Winfield Jr.,TB,DB,98,100,100,100,,,,,,,,,,,,,,,261,100
Carlton Davis III,TB,DB,100,0,0,100,,,,,,,,,,,,,,,129,100
Jamel Dean,TB,DB,98,98,48,0,,,,,,,,,,,,,,,153,78
Ryan Neal,TB,DB,100,100,99,3,,,,,,,,,,,,,,,198,75
Dallis Flowers,IND,DB,99,100,100,96,,,,,,,,,,,,,,,304,99
Tony Brown,IND,DB,1,0,0,0,,,,,,,,,,,,,,,1,1
Julian Blackmon,IND,DB,100,100,100,100,,,,,,,,,,,,,,,308,100
Darrell Baker Jr.,IND,DB,69,74,0,0,,,,,,,,,,,,,,,110,71
Rodney Thomas II,IND,DB,100,100,100,100,,,,,,,,,,,,,,,308,100
Kenny Moore II,IND,DB,97,100,100,100,,,,,,,,,,,,,,,306,99
Andre Cisco,JAC,DB,100,88,100,83,,,,,,,,,,,,,,,235,93
