Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
B.T. Potter K,B.T. Potter,K,,Bye,FA,,,,,,,,,,,,0.0
Alex Quevedo K,Alex Quevedo,K,,Bye,FA,,,,,,,,,,,,0.0
John Parker Romo K - CHI,John Parker Romo,K,CHI,GB,FA,,,,,,,,,,,,0.0
Austin Seibert K - NYJ,Austin Seibert,K,NYJ,BUF,FA,,,,,,,,,,,,0.0
Caleb Shudak K,Caleb Shudak,K,,Bye,FA,,,,,,,,,,,,0.0
Ryan Succop K,Ryan Succop,K,,Bye,FA,,,,,,,,,,,,0.0
Giorgio Tavecchio K,Giorgio Tavecchio,K,,Bye,FA,,,,,,,,,,,,0.0
Matthew Trickett K,Matthew Trickett,K,,Bye,FA,,,,,,,,,,,,0.0
Jake Verity K,Jake Verity,K,,Bye,FA,,,,,,,,,,,,0.0
Tristan Vizcaino K,Tristan Vizcaino,K,,Bye,FA,,,,,,,,,,,,0.0
Parker White K,Parker White,K,,Bye,FA,,,,,,,,,,,,0.0
Trey Wolff K,Trey Wolff,K,,Bye,FA,,,,,,,,,,,,0.0
Cade York K - TEN,Cade York,K,TEN,@NO,FA,,,,,,,,,,,,0.0
Graham Gano K - NYG,Graham Gano,K,NYG,DAL,Bad Wildcats Hunschat,,,,,,,,,,1.0,1.0,-3.0
