Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Ryan Tannehill QB - TEN,Ryan Tannehill,QB,TEN,@JAX,FA,,,,,,,,,,,,,,,,0.0
Tyrod Taylor QB - NYG,Tyrod Taylor,QB,NYG,@PHI,FA,,,,,,,,,,,,,,,,0.0
Skylar Thompson QB - MIA,Skylar Thompson,QB,MIA,NYJ,FA,20.0,152.0,,,3.0,,,,,,,,,,,0.0
Kyle Trask QB - TB,Kyle Trask,QB,TB,@ATL,FA,3.0,23.0,,,,,,,,,,,,,,0.0
Mitchell Trubisky QB - PIT,Mitchell Trubisky,QB,PIT,CLE,FA,,,,,,,,,,,,,,,,0.0
Clayton Tune QB - ARI,Clayton Tune,QB,ARI,Bye,FA,,,,,,,,,,,,,,,,0.0
PJ Walker QB - CLE,PJ Walker,QB,CLE,MIN,FA,,,,,,,,,,,,,,,,0.0
Deshaun Watson QB - CLE Q View News,Deshaun Watson,QB,CLE,@PIT,Boppard Raiders,19.0,230.0,2.0,2.0,44.0,,,,,,,,,,1.0,0.0
Carson Wentz QB,Carson Wentz,QB,,DAL,FA,,,,,,,,,,,,,,,,0.0
Mike White QB - MIA,Mike White,QB,MIA,NYJ,FA,,,,,,,,,,,,,,,,0.0
Malik Willis QB - TEN,Malik Willis,QB,TEN,@JAX,FA,,,,,,,,,,,,,,,,0.0
Russell Wilson QB - DEN,Russell Wilson,QB,DEN,LAC,Washington Fantasy Team,13.0,283.0,3.0,1.0,18.0,,,,,,,,,,,0.0
Zach Wilson QB - NYJ,Zach Wilson,QB,NYJ,@MIA,FA,,,,,,,,,,,,,,,,0.0
Dresser Winn QB,Dresser Winn,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jameis Winston QB - NO,Jameis Winston,QB,NO,CAR,FA,,,,,,,,,,,,,,,,0.0
John Wolford QB - TB,John Wolford,QB,TB,@SEA,FA,,,,,,,,,,,,,,,,0.0
Logan Woodside QB - ATL,Logan Woodside,QB,ATL,TB,FA,,,,,,,,,,,,,,,,0.0
Bryce Young QB - CAR,Bryce Young,QB,CAR,Bye,FA,,,,,,,,,,,,,,,,0.0
Bailey Zappe QB - NE,Bailey Zappe,QB,NE,@BUF,FA,,,,,,,,,,,,,,,,0.0
