Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Royce Freeman RB - LA,Royce Freeman,RB,LA,PHI,FA,,,,,,,,,,,,,,,,0.0
Jake Funk RB - IND,Jake Funk,RB,IND,@NE,FA,,,,,,,,,,,,,,,,0.0
Kenneth Gainwell RB - PHI,Kenneth Gainwell,RB,PHI,@HOU,Slay,,,,,22.0,1.0,3.0,16.0,,,,,,,,0.0
Myles Gaskin RB - MIN,Myles Gaskin,RB,MIN,@CHI,FA,,,,,,,,,,,,,,,,0.0
Jahmyr Gibbs RB - DET View News,Jahmyr Gibbs,RB,DET,Bye,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Antonio Gibson RB - WAS,Antonio Gibson,RB,WAS,MIN,FA,,,,,36.0,,2.0,11.0,,68.0,,,,,,0.0
Melvin Gordon RB - BAL,Melvin Gordon,RB,BAL,TEN,FA,,,,,,,,,,,,,,,,0.0
Alfonzo Graham RB - PIT IR,Alfonzo Graham,RB,PIT,Bye,FA,,,,,,,,,,,,,,,,0.0
Eric Gray RB - NYG,Eric Gray,RB,NYG,Bye,FA,,,,,,,,,,,,,,,,0.0
Darius Hagans RB,Darius Hagans,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Troy Hairston RB - HOU IR,Troy Hairston,RB,HOU,Bye,FA,,,,,,,,,,,,,,,,0.0
Breece Hall RB - NYJ,Breece Hall,RB,NYJ,BUF,Wbn Beasts,,,,,,,,,,,,,,,,0.0
Hassan Hall RB,Hassan Hall,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
C.J. Ham RB - MIN,C.J. Ham,RB,MIN,@WAS,FA,,,,,,,,,,,,,,,,0.0
Damien Harris RB - BUF,Damien Harris,RB,BUF,@NYJ,FA,,,,,,,,,,,,,,,,0.0
Kevin Harris RB - NE,Kevin Harris,RB,NE,IND,FA,,,,,,,,,,,,,,,,0.0
Najee Harris RB - PIT,Najee Harris,RB,PIT,Bye,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Hassan Haskins RB - TEN IR,Hassan Haskins,RB,TEN,@KC,FA,,,,,5.0,,1.0,2.0,,72.0,,,,,,0.0
JaMycal Hasty RB - JAX,JaMycal Hasty,RB,JAX,LV,FA,,,,,6.0,,1.0,5.0,,,,,,,,0.0
Darrell Henderson RB,Darrell Henderson,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Derrick Henry RB - TEN,Derrick Henry,RB,TEN,@KC,dirty birds,,,,,115.0,2.0,,,,,,,,,,0.0
Khalil Herbert RB - CHI,Khalil Herbert,RB,CHI,MIA,Wbn Beasts,,,,,23.0,,,,,30.0,,,,,,0.0
Justice Hill RB - BAL Q View News,Justice Hill,RB,BAL,@NO,FA,,,,,11.0,,1.0,8.0,,9.0,,,,,,0.0
Nyheim Hines RB - BUF NFI-R,Nyheim Hines,RB,BUF,@NYJ,FA,,,,,,,,,,18.0,,,,,,0.0
Elijah Holyfield RB Q,Elijah Holyfield RB,Q,,CAR,FA,,,,,,,,,,,,,,,,0.0
Travis Homer RB - CHI Q View News,Travis Homer,RB,CHI,MIA,FA,,,,,7.0,,3.0,25.0,,,,,,,,0.0
Tyler Hoosman RB,Tyler Hoosman,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Zander Horvath RB - PIT,Zander Horvath,RB,PIT,@ATL,FA,,,,,,,,,,,,,,,,0.0
Chuba Hubbard RB - CAR,Chuba Hubbard,RB,CAR,@CIN,Slay,,,,,,,,,,,,,,,,0.0
Evan Hull RB - IND IR,Evan Hull,RB,IND,Bye,FA,,,,,,,,,,,,,,,,0.0
Kareem Hunt RB - CLE View News,Kareem Hunt,RB,CLE,Bye,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Jason Huntley RB,Jason Huntley,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Mohamed Ibrahim RB Q,Mohamed Ibrahim RB,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
Godwin Igwebuike RB - PIT,Godwin Igwebuike,RB,PIT,@ARI,FA,,,,,,,,,,,,,,,,0.0
Alec Ingold RB - MIA,Alec Ingold,RB,MIA,@CHI,FA,,,,,,,,,,,,,,,,0.0
Keaontay Ingram RB - ARI Q,Keaontay Ingram,RB,ARI,SEA,FA,,,,,2.0,,,,,,,,,,,0.0
Deon Jackson RB - CLE,Deon Jackson,RB,CLE,@NE,FA,,,,,23.0,,2.0,13.0,,,,,,,,0.0
Josh Jacobs RB - LV,Josh Jacobs,RB,LV,@JAX,Bad Wildcats Hunschat,,,,,67.0,,3.0,20.0,,,,,,,,0.0
Jermar Jefferson RB Q,Jermar Jefferson RB,Q,,GB,FA,,,,,,,,,,,,,,,,0.0
D'Ernest Johnson RB - JAX,D'Ernest Johnson,RB,JAX,LV,FA,,,,,,,,,,,,,,,,0.0
Jakob Johnson RB - LV,Jakob Johnson,RB,LV,@JAX,FA,,,,,,,,,,,,,,,,0.0
Roschon Johnson RB - CHI,Roschon Johnson,RB,CHI,Bye,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Ty Johnson RB - BUF,Ty Johnson,RB,BUF,BUF,FA,,,,,,,,,,,,,,,,0.0
Aaron Jones RB - GB,Aaron Jones,RB,GB,@DET,GLADIATORS of NORSCHT,,,,,25.0,,2.0,20.0,,,,,,,,0.0
Ronald Jones RB,Ronald Jones,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tony Jones RB - NO,Tony Jones,RB,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Kyle Juszczyk RB - SF,Kyle Juszczyk,RB,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
Alvin Kamara RB - NO,Alvin Kamara,RB,NO,BAL,GLADIATORS of NORSCHT,,,,,30.0,,3.0,32.0,,,,,,,,0.0
Joshua Kelley RB - LAC View News,Joshua Kelley,RB,LAC,@ATL,Magic Eulers,,,,,,,,,,,,,,,,0.0
John Kelly RB,John Kelly,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Bam Knight RB - DET IA,Bam Knight,RB,DET,BUF,W (Oct 4),,,,,,,,,,,,,,,,0.0
Bryant Koback RB - PHI,Bryant Koback,RB,PHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Khalan Laborn RB,Khalan Laborn,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Patrick Laird RB - TB,Patrick Laird,RB,TB,LA,FA,,,,,,,,,,,,,,,,0.0
John Lovett RB Q,John Lovett RB,Q,,@CHI,FA,,,,,,,,,,,,,,,,0.0
Hunter Luepke RB - DAL,Hunter Luepke,RB,DAL,Bye,FA,,,,,,,,,,,,,,,,0.0
Alexander Mattison RB - MIN,Alexander Mattison,RB,MIN,@WAS,Boppard Raiders,,,,,1.0,,1.0,,,,,,,,,0.0
Tyreik McAllister RB,Tyreik McAllister,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
